Algorithm,Resolution,Map,Agents,Total Time,Number Solved Scenarios,Average Time
CBS,1,den312d,4,1.739387999999999,20,0.08696939999999995
CBS,1,den312d,6,2.6696539999999995,20,0.13348269999999998
CBS,1,den312d,8,7.363013999999999,18,0.40905633333333324
CBS,1,den312d,10,15.986457999999999,18,0.8881365555555555
CBS,1,den312d,12,32.667936000000005,18,1.8148853333333337
CBS,1,den312d,14,59.856128,17,3.5209487058823528
CBS,1,den312d,16,139.20050799999999,15,9.280033866666665
CBS,1,den312d,18,123.822021,13,9.524770846153846
CBS,1,den312d,20,108.57335900000001,8,13.571669875000001
CBS,1,den312d,22,52.64729,6,8.774548333333334
CBS,1,den312d,24,64.54384999999999,5,12.908769999999999
CBS,1,den312d,26,50.099199999999996,4,12.524799999999999
CBS,1,ost003d,2,35.890187000000005,20,1.7945093500000002
CBS,1,ost003d,4,84.79188800000001,20,4.2395944000000005
CBS,1,ost003d,6,273.107346,18,15.172630333333334
CBS,1,ost003d,8,330.57530099999997,17,19.445605941176467
CBS,1,ost003d,10,205.679857,12,17.139988083333332
CBS,1,ost003d,12,155.73380200000003,9,17.30375577777778
CBS,1,ost003d,14,140.48735999999997,6,23.414559999999994
CBS,1,ost003d,16,110.06206,5,22.012412
CBS,1,ost003d,18,136.8336,3,45.6112
CBS,1,brc202d,2,166.625905,17,9.801523823529411
CBS,1,brc202d,4,256.71707999999995,12,21.393089999999997
CBS,1,brc202d,6,200.40997,9,22.26777444444444
CBS,1,brc202d,8,187.19050000000001,6,31.19841666666667
CBS,1,brc202d,10,120.35399999999998,3,40.117999999999995
CBS,1,den520d,2,4.279864000000001,20,0.21399320000000005
CBS,1,den520d,4,23.129065999999998,20,1.1564533
CBS,1,den520d,6,69.31821500000002,20,3.4659107500000013
CBS,1,den520d,8,111.506484,20,5.5753242
CBS,1,den520d,10,188.574931,19,9.924996368421052
CBS,1,den520d,12,181.899981,18,10.1055545
CBS,1,den520d,14,237.43871000000001,18,13.191039444444446
CBS,1,den520d,16,235.59622,15,15.706414666666666
CBS,1,den520d,18,254.50752,15,16.967168
CBS,1,den520d,20,251.12954,14,17.937824285714285
CBS,1,den520d,22,285.95473000000004,13,21.996517692307695
CBS,1,den520d,24,258.99148,12,21.582623333333334
CBS,1,den520d,26,284.17016,11,25.83365090909091
CBS,1,den520d,28,177.86701,6,29.644501666666667
CBS,1,den520d,30,108.2878,3,36.095933333333335
CBS,1,den520d,32,61.326499999999996,2,30.663249999999998
CBS,1,den520d,34,87.6774,2,43.8387
CBS,1,den520d,36,94.0008,2,47.0004
CBS,1,den520d,38,94.2042,2,47.1021
CBS,1,den520d,40,58.6688,1,58.6688
CBS,1,w_woundedcoast,2,242.43436200000002,20,12.1217181
CBS,1,w_woundedcoast,4,340.33277000000004,19,17.912251052631582
CBS,1,w_woundedcoast,6,316.9979,15,21.133193333333335
CBS,1,w_woundedcoast,8,240.85618,9,26.761797777777776
CBS,1,w_woundedcoast,10,237.9694,7,33.995628571428576
CBS,1,w_woundedcoast,12,84.5369,2,42.26845
CBS,2,empty-8-8,2,0.003635,20,0.00018175
CBS,2,empty-8-8,4,0.015986,20,0.0007993
CBS,2,empty-8-8,6,0.022001,20,0.00110005
CBS,2,empty-8-8,8,0.17103199999999996,20,0.008551599999999998
CBS,2,empty-8-8,10,0.29326500000000005,20,0.014663250000000003
CBS,2,empty-8-8,12,0.7095250000000001,20,0.03547625
CBS,2,empty-8-8,14,2.4299789999999994,20,0.12149894999999997
CBS,2,empty-8-8,16,5.921194000000002,20,0.2960597000000001
CBS,2,empty-8-8,18,9.485375,19,0.4992302631578947
CBS,2,empty-8-8,20,61.436932,17,3.6139371764705883
CBS,2,empty-8-8,22,49.753510000000006,12,4.1461258333333335
CBS,2,empty-8-8,24,22.373718,5,4.4747436
CBS,2,empty-8-8,26,44.244267,4,11.06106675
CBS,2,empty-8-8,28,1.82993,1,1.82993
CBS,2,empty-8-8,30,12.0506,1,12.0506
CBS,2,empty-16-16,2,0.090008,20,0.0045004
CBS,2,empty-16-16,4,0.809923,20,0.040496149999999995
CBS,2,empty-16-16,6,1.099767,20,0.05498835
CBS,2,empty-16-16,8,2.139781,20,0.10698905
CBS,2,empty-16-16,10,2.589789,20,0.12948945
CBS,2,empty-16-16,12,18.009573000000003,20,0.9004786500000002
CBS,2,empty-16-16,14,46.499464999999994,20,2.3249732499999998
CBS,2,empty-16-16,16,46.078998,18,2.559944333333333
CBS,2,empty-16-16,18,5.19014,16,0.32438375
CBS,2,empty-16-16,20,21.939448000000002,15,1.4626298666666668
CBS,2,empty-16-16,22,43.519051999999995,14,3.108503714285714
CBS,2,empty-16-16,24,60.098092,12,5.008174333333334
CBS,2,empty-16-16,26,88.23966100000001,11,8.021787363636365
CBS,2,empty-16-16,28,28.809833999999995,8,3.6012292499999994
CBS,2,empty-16-16,30,27.30986,6,4.551643333333334
CBS,2,empty-16-16,32,23.38938,5,4.6778759999999995
