map_name,resolution,scenario,algorithm,agents,time,cost,evaluated_nodes,total_nodes
room-64-64-8,1,19,PBS,4,0.00811777,89,1,1
room-64-64-8,1,19,PBS,8,0.375251,286,2,3
room-64-64-8,1,19,PBS,12,2.23624,570,12,23
room-64-64-8,1,19,PBS,16,2.46396,777,12,23
room-64-64-8,1,19,PBS,20,34.5897,1024,125,248
room-64-64-8,1,19,PBS,24,356.458,1267,436,842
room-64-64-16,2,2,PBS,4,9.2781,260,1,1
room-64-64-16,2,2,PBS,8,11.3476,484,1,1
room-64-64-16,2,2,PBS,12,13.7008,664,1,1
room-64-64-16,2,2,PBS,16,30.9917,835,4,7
room-64-64-16,2,2,PBS,20,129.65,1048,7,13
room-64-64-16,2,2,PBS,24,446.547,1447,13,25
room-32-32-4,2,11,PBS,4,0.111513,119,1,1
room-64-64-8,2,19,PBS,4,0.0343025,89,1,1
room-64-64-8,2,19,PBS,8,3.89004,286,2,3
room-64-64-8,2,19,PBS,12,16.2447,568,10,19
room-64-64-8,2,19,PBS,16,18.0543,775,10,19
room-64-64-8,2,19,PBS,20,316.501,1020.5,99,196
room-64-64-16,4,2,PBS,4,87.8961,260,1,1
room-64-64-16,4,2,PBS,8,105.788,484,1,1
room-64-64-16,4,2,PBS,12,125.995,664,1,1
room-64-64-16,4,2,PBS,16,337.832,835,4,7
room-32-32-4,4,11,PBS,4,0.795912,119,1,1
room-64-64-8,4,19,PBS,4,0.305618,89,1,1
room-64-64-8,4,19,PBS,8,45.53,286,2,3
room-64-64-8,4,19,PBS,12,206.409,568,10,19
room-64-64-8,4,19,PBS,16,222.386,775,10,19
room-32-32-4,1,3,CBS,4,0.066351,104,6,11
room-32-32-4,1,3,CBS,8,1.39316,204,178,355
room-32-32-4,1,3,CBS,12,1.96444,286,237,473
room-32-32-4,1,3,CBS,16,6.51038,362,838,1675
room-64-64-8,1,11,CBS,4,0.086318,182,1,1
room-64-64-8,1,11,CBS,8,1.66112,462,4,7
room-64-64-8,1,11,CBS,12,4.09241,545,11,21
room-64-64-8,1,11,CBS,16,17.2899,871,93,185
room-64-64-8,1,11,CBS,20,277.973,1121,2446,4891
room-64-64-16,1,19,CBS,4,2.10812,182,1,1
room-64-64-16,1,19,CBS,8,2.73164,374,1,1
room-64-64-16,1,19,CBS,12,2.92041,618,1,1
room-64-64-16,1,19,CBS,16,14.7522,902,22,43
room-64-64-16,1,19,CBS,20,76.8772,1299,89,177
room-64-64-16,1,19,CBS,24,114.13,1661,121,241
room-32-32-4,2,3,CBS,4,0.567965,104,10,19
room-64-64-8,2,11,CBS,4,0.596714,182,1,1
room-64-64-8,2,11,CBS,8,13.3516,461,4,7
room-64-64-8,2,11,CBS,12,32.4491,544,11,21
room-64-64-16,2,19,CBS,4,18.9698,182,1,1
room-64-64-16,2,19,CBS,8,24.5297,374,1,1
room-64-64-16,2,19,CBS,12,26.2275,618,1,1
room-64-64-16,2,19,CBS,16,633.268,902,50,99
