Algorithm,Resolution,Map,Scenario,Num Agents,Flowtime,Time
CBS,1,empty-8-8,10,12,122.0,0.003818
CBS,1,empty-8-8,11,12,120.0,0.058758
CBS,1,empty-8-8,12,12,112.0,0.0
CBS,1,empty-8-8,13,12,116.0,0.020051
CBS,1,empty-8-8,14,12,120.0,0.06875
CBS,1,empty-8-8,15,12,94.0,0.005223
CBS,1,empty-8-8,16,12,122.0,0.00997
CBS,1,empty-8-8,17,12,114.0,0.024974
CBS,1,empty-8-8,18,12,110.0,0.018335
CBS,1,empty-8-8,19,12,118.0,0.306092
CBS,1,empty-8-8,20,12,152.0,0.477832
CBS,1,empty-8-8,1,14,140.0,0.0
CBS,1,empty-8-8,2,14,124.0,0.101724
CBS,1,empty-8-8,3,14,120.0,0.001719
CBS,1,empty-8-8,4,14,118.0,0.003361
CBS,1,empty-8-8,5,14,142.0,0.004988
CBS,1,empty-8-8,6,14,138.0,0.563452
CBS,1,empty-8-8,7,14,148.0,0.207234
CBS,1,empty-8-8,8,14,122.0,0.100929
CBS,1,empty-8-8,9,14,170.0,0.142027
CBS,1,empty-8-8,10,14,146.0,0.025595
CBS,1,empty-8-8,11,14,136.0,0.21088
CBS,1,empty-8-8,12,14,126.0,0.111873
CBS,1,empty-8-8,13,14,130.0,0.037271
CBS,1,empty-8-8,14,14,134.0,0.088487
CBS,1,empty-8-8,15,14,104.0,0.022957
CBS,1,empty-8-8,16,14,142.0,0.020091
CBS,1,empty-8-8,17,14,134.0,0.015667
CBS,1,empty-8-8,18,14,140.0,0.524421
CBS,1,empty-8-8,19,14,138.0,0.80596
CBS,1,empty-8-8,20,14,174.0,42.3344
CBS,1,empty-8-8,1,16,158.0,0.038244
CBS,1,empty-8-8,2,16,150.0,0.511897
CBS,1,empty-8-8,3,16,144.0,0.005115
CBS,1,empty-8-8,4,16,130.0,0.001962
CBS,1,empty-8-8,5,16,156.0,0.051715
CBS,1,empty-8-8,7,16,168.0,5.80638
CBS,1,empty-8-8,8,16,140.0,0.132847
CBS,1,empty-8-8,9,16,196.0,0.176673
CBS,1,empty-8-8,10,16,178.0,0.155129
CBS,1,empty-8-8,11,16,154.0,0.319818
CBS,1,empty-8-8,12,16,140.0,0.238936
CBS,1,empty-8-8,13,16,152.0,0.193732
CBS,1,empty-8-8,14,16,150.0,0.392151
CBS,1,empty-8-8,15,16,134.0,0.032711
CBS,1,empty-8-8,16,16,170.0,1.70299
CBS,1,empty-8-8,17,16,150.0,0.013035
CBS,1,empty-8-8,19,16,182.0,14.2273
CBS,1,empty-8-8,1,18,184.0,15.9429
CBS,1,empty-8-8,2,18,160.0,1.08838
CBS,1,empty-8-8,3,18,158.0,0.149951
CBS,1,empty-8-8,4,18,148.0,0.027352
CBS,1,empty-8-8,5,18,172.0,0.121336
CBS,1,empty-8-8,7,18,184.0,3.84137
CBS,1,empty-8-8,8,18,180.0,2.36164
CBS,1,empty-8-8,9,18,230.0,7.36335
CBS,1,empty-8-8,10,18,210.0,0.164728
CBS,1,empty-8-8,12,18,158.0,0.592762
CBS,1,empty-8-8,13,18,174.0,2.99425
CBS,1,empty-8-8,14,18,164.0,13.218
CBS,1,empty-8-8,15,18,152.0,0.905385
CBS,1,empty-8-8,16,18,190.0,3.0265
CBS,1,empty-8-8,17,18,180.0,0.075294
CBS,1,empty-8-8,19,18,198.0,59.9316
CBS,1,empty-8-8,3,20,170.0,0.417034
CBS,1,empty-8-8,4,20,166.0,0.329931
CBS,1,empty-8-8,5,20,188.0,34.0106
CBS,1,empty-8-8,7,20,194.0,7.90813
CBS,1,empty-8-8,8,20,202.0,27.0611
CBS,1,empty-8-8,9,20,242.0,6.73126
CBS,1,empty-8-8,10,20,232.0,19.2218
CBS,1,empty-8-8,12,20,180.0,4.07015
CBS,1,empty-8-8,15,20,174.0,2.48997
CBS,1,empty-8-8,3,22,204.0,29.5941
CBS,1,empty-8-8,4,22,194.0,41.1789
CBS,1,empty-16-16,1,2,60.0,0.0
CBS,1,empty-16-16,2,2,52.0,0.001715
CBS,1,empty-16-16,3,2,28.0,0.0
CBS,1,empty-16-16,4,2,52.0,0.0
CBS,1,empty-16-16,5,2,44.0,0.0
CBS,1,empty-16-16,6,2,58.0,0.0
CBS,1,empty-16-16,7,2,72.0,0.0
CBS,1,empty-16-16,8,2,38.0,0.0
CBS,1,empty-16-16,9,2,30.0,0.0
CBS,1,empty-16-16,10,2,46.0,0.0
CBS,1,empty-16-16,11,2,22.0,0.0
CBS,1,empty-16-16,12,2,48.0,0.0
CBS,1,empty-16-16,13,2,78.0,0.010007
CBS,1,empty-16-16,14,2,52.0,0.0
CBS,1,empty-16-16,15,2,32.0,0.0
CBS,1,empty-16-16,16,2,52.0,0.0
CBS,1,empty-16-16,17,2,26.0,0.0
CBS,1,empty-16-16,18,2,40.0,0.0
CBS,1,empty-16-16,19,2,22.0,0.0
CBS,1,empty-16-16,20,2,28.0,0.0
CBS,1,empty-16-16,1,4,98.0,0.0
CBS,1,empty-16-16,2,4,92.0,0.0
CBS,1,empty-16-16,3,4,82.0,0.0
CBS,1,empty-16-16,4,4,90.0,0.0
CBS,1,empty-16-16,5,4,86.0,0.002827
CBS,1,empty-16-16,6,4,102.0,0.0
CBS,1,empty-16-16,7,4,92.0,0.0
CBS,1,empty-16-16,8,4,72.0,0.0
CBS,1,empty-16-16,9,4,66.0,0.0
CBS,1,empty-16-16,10,4,100.0,0.0
CBS,1,empty-16-16,11,4,38.0,0.0
CBS,1,empty-16-16,12,4,74.0,0.0
CBS,1,empty-16-16,13,4,126.0,0.009982
CBS,1,empty-16-16,14,4,92.0,0.0
CBS,1,empty-16-16,15,4,88.0,0.0
CBS,1,empty-16-16,16,4,88.0,0.007428
CBS,1,empty-16-16,17,4,70.0,0.0
CBS,1,empty-16-16,18,4,102.0,0.0
CBS,1,empty-16-16,19,4,78.0,0.0
CBS,1,empty-16-16,20,4,84.0,0.0
CBS,1,empty-16-16,1,6,144.0,0.0
CBS,1,empty-16-16,2,6,128.0,0.001747
CBS,1,empty-16-16,3,6,150.0,0.009994
CBS,1,empty-16-16,4,6,156.0,0.0
CBS,1,empty-16-16,5,6,126.0,0.0
CBS,1,empty-16-16,6,6,154.0,0.010005
CBS,1,empty-16-16,7,6,136.0,0.0
CBS,1,empty-16-16,8,6,120.0,0.004329
CBS,1,empty-16-16,9,6,110.0,0.0
CBS,1,empty-16-16,10,6,150.0,0.0
CBS,1,empty-16-16,11,6,66.0,0.0
CBS,1,empty-16-16,12,6,124.0,0.0
CBS,1,empty-16-16,13,6,184.0,0.019985
CBS,1,empty-16-16,14,6,128.0,0.0
CBS,1,empty-16-16,15,6,124.0,0.0
CBS,1,empty-16-16,16,6,118.0,0.019975
CBS,1,empty-16-16,17,6,110.0,0.005464
CBS,1,empty-16-16,18,6,132.0,0.0
CBS,1,empty-16-16,19,6,142.0,0.0
CBS,1,empty-16-16,20,6,112.0,0.0
CBS,1,empty-16-16,1,8,172.0,0.0
CBS,1,empty-16-16,2,8,188.0,0.006926
CBS,1,empty-16-16,3,8,212.0,0.015906
CBS,1,empty-16-16,4,8,220.0,0.009989
CBS,1,empty-16-16,5,8,170.0,0.0
CBS,1,empty-16-16,6,8,200.0,0.01643
CBS,1,empty-16-16,7,8,184.0,0.0
CBS,1,empty-16-16,8,8,170.0,0.010058
CBS,1,empty-16-16,9,8,142.0,0.006998
CBS,1,empty-16-16,10,8,216.0,0.0
CBS,1,empty-16-16,11,8,96.0,0.0
CBS,1,empty-16-16,12,8,142.0,0.002141
CBS,1,empty-16-16,13,8,204.0,0.010047
CBS,1,empty-16-16,14,8,186.0,0.0
CBS,1,empty-16-16,15,8,170.0,0.0
CBS,1,empty-16-16,16,8,152.0,0.039955
CBS,1,empty-16-16,17,8,148.0,0.0
