map_name,resolution,scenario,algorithm,agents,time,cost,evaluated_nodes,total_nodes
empty-48-48,4,19,CBS,12,0.0808051,312,35,69
empty-48-48,4,19,CBS,16,0.16811,420,47,93
empty-8-8,1,2,PBS,4,0.000275899,19,1,1
empty-8-8,1,2,PBS,8,0.0040154,35,11,21
empty-8-8,1,2,PBS,12,0.00707909,54,16,31
empty-8-8,1,2,PBS,16,0.136653,71,330,573
empty-8-8,1,2,PBS,20,2.54899,94,4805,8069
empty-8-8,1,2,PBS,24,461.618,117,460823,710002
empty-16-16,1,8,PBS,4,0.000875497,31,2,3
empty-16-16,1,8,PBS,8,0.00514323,81,5,9
empty-16-16,1,8,PBS,12,0.00804039,124,5,9
empty-16-16,1,8,PBS,16,0.0141218,143,7,13
empty-16-16,1,8,PBS,20,0.0525025,185,21,41
empty-16-16,1,8,PBS,24,0.066384,226,29,57
empty-16-16,1,8,PBS,28,0.283109,282,118,227
empty-16-16,1,8,PBS,32,4.40639,314,1356,2645
empty-16-16,1,8,PBS,36,30.3086,364,7711,14701
empty-16-16,1,8,PBS,40,152.393,391,31564,57720
empty-32-32,1,14,PBS,4,0.00149127,120,1,1
empty-32-32,1,14,PBS,8,0.00214548,199,1,1
empty-32-32,1,14,PBS,12,0.00435319,273,1,1
empty-32-32,1,14,PBS,16,0.0185698,332,3,5
empty-32-32,1,14,PBS,20,0.689916,407,28,55
empty-32-32,1,14,PBS,24,1.56927,496,59,115
empty-32-32,1,14,PBS,28,1.49744,564,66,126
empty-32-32,1,14,PBS,32,1.59882,633,61,117
empty-32-32,1,14,PBS,36,1.17594,758,62,121
empty-32-32,1,14,PBS,40,3.90177,856,198,389
empty-32-32,1,14,PBS,44,6.40298,965,282,554
empty-32-32,1,14,PBS,48,14.7715,1054,868,1720
empty-32-32,1,14,PBS,52,29.5479,1114,2062,4101
empty-32-32,1,14,PBS,56,69.349,1157,3607,7071
empty-48-48,1,20,PBS,4,0.00136064,113,1,1
empty-48-48,1,20,PBS,8,0.00298093,227,1,1
empty-48-48,1,20,PBS,12,0.00496335,342,1,1
empty-48-48,1,20,PBS,16,0.00625094,420,1,1
empty-48-48,1,20,PBS,20,0.403204,511,8,15
empty-48-48,1,20,PBS,24,0.413212,629,8,15
empty-48-48,1,20,PBS,28,0.42832,785,8,15
empty-48-48,1,20,PBS,32,0.442717,870,8,15
empty-48-48,1,20,PBS,36,0.823061,936,14,27
empty-48-48,1,20,PBS,40,1.16716,1063,30,59
empty-48-48,1,20,PBS,44,1.39024,1209,33,65
empty-48-48,1,20,PBS,48,2.42654,1296,65,129
empty-48-48,1,20,PBS,52,2.03255,1375,56,111
empty-48-48,1,20,PBS,56,6.7293,1578,148,284
empty-48-48,1,20,PBS,60,22.981,1697,485,935
empty-48-48,1,20,PBS,64,220.292,1848,4160,8128
empty-48-48,1,20,PBS,68,139.853,1974,3434,6817
empty-8-8,2,2,PBS,4,0.000476932,19,1,1
empty-8-8,2,2,PBS,8,0.00741076,35,8,15
empty-8-8,2,2,PBS,12,0.0186119,54,16,31
empty-8-8,2,2,PBS,16,0.0208957,68,27,53
empty-8-8,2,2,PBS,20,0.184674,91,133,263
empty-8-8,2,2,PBS,24,0.333637,111,225,442
empty-8-8,2,2,PBS,28,154.046,124.5,64237,108207
empty-16-16,2,8,PBS,4,0.00347016,31,2,3
empty-16-16,2,8,PBS,8,0.0329473,81,5,9
empty-16-16,2,8,PBS,12,0.0388503,124,5,9
empty-16-16,2,8,PBS,16,0.174987,143,12,23
empty-16-16,2,8,PBS,20,0.418951,185,33,62
empty-16-16,2,8,PBS,24,0.668702,226,61,114
empty-16-16,2,8,PBS,28,1.91976,282,185,349
empty-16-16,2,8,PBS,32,1.53569,313,123,236
empty-16-16,2,8,PBS,36,2.02637,363,172,328
empty-16-16,2,8,PBS,40,3.07905,390,255,484
empty-16-16,2,8,PBS,44,6.54535,433,529,1019
empty-16-16,2,8,PBS,48,8.86247,483,961,1862
empty-16-16,2,8,PBS,52,10.0748,510,961,1871
empty-16-16,2,8,PBS,56,63.6426,544,7840,15384
empty-32-32,2,14,PBS,4,0.0026735,120,1,1
empty-32-32,2,14,PBS,8,0.00445012,199,1,1
empty-32-32,2,14,PBS,12,0.00700958,273,1,1
empty-32-32,2,14,PBS,16,0.158652,332,3,5
empty-32-32,2,14,PBS,20,4.4619,407,25,49
empty-32-32,2,14,PBS,24,2.07651,496,27,53
empty-32-32,2,14,PBS,28,5.6683,564,39,73
empty-32-32,2,14,PBS,32,11.7048,633,66,121
empty-32-32,2,14,PBS,36,17.2307,758,92,174
empty-32-32,2,14,PBS,40,6.04966,856,67,130
empty-32-32,2,14,PBS,44,22.0911,965,124,246
empty-32-32,2,14,PBS,48,81.3589,1054,1030,1977
empty-32-32,2,14,PBS,52,262.94,1114,4492,8562
empty-32-32,2,14,PBS,56,514.763,1157,7927,15318
empty-48-48,2,20,PBS,4,0.00243326,113,1,1
empty-48-48,2,20,PBS,8,0.00527266,227,1,1
empty-48-48,2,20,PBS,12,0.00834513,342,1,1
empty-48-48,2,20,PBS,16,0.0115831,420,1,1
empty-48-48,2,20,PBS,20,4.29025,511,6,11
empty-48-48,2,20,PBS,24,4.2732,629,6,11
empty-48-48,2,20,PBS,28,4.30144,785,6,11
empty-48-48,2,20,PBS,32,4.32668,870,6,11
empty-48-48,2,20,PBS,36,4.34926,936,6,11
empty-48-48,2,20,PBS,40,9.58266,1063,19,37
empty-48-48,2,20,PBS,44,11.7522,1209,24,47
empty-48-48,2,20,PBS,48,8.92044,1296,27,53
empty-48-48,2,20,PBS,52,11.5943,1375,30,59
empty-48-48,2,20,PBS,56,55.9264,1578,111,221
empty-48-48,2,20,PBS,60,77.9261,1697,248,492
empty-48-48,2,20,PBS,64,708.053,1848,3856,7702
empty-8-8,4,2,PBS,4,0.00100392,19,1,1
empty-8-8,4,2,PBS,8,0.051004,35,8,15
empty-8-8,4,2,PBS,12,0.0879331,54,16,31
empty-8-8,4,2,PBS,16,0.0921051,68,27,53
empty-8-8,4,2,PBS,20,1.70762,91,195,382
empty-8-8,4,2,PBS,24,1.77318,111,257,491
empty-8-8,4,2,PBS,28,685.802,124.5,59364,99044
empty-16-16,4,8,PBS,4,0.0275322,31,2,3
empty-16-16,4,8,PBS,8,0.363785,81,5,9
empty-16-16,4,8,PBS,12,0.368639,124,5,9
empty-16-16,4,8,PBS,16,1.9171,143,12,23
empty-16-16,4,8,PBS,20,4.26697,185,33,62
empty-16-16,4,8,PBS,24,4.15632,226,46,87
empty-16-16,4,8,PBS,28,4.42833,282,74,136
empty-16-16,4,8,PBS,32,8.19799,313,119,225
empty-16-16,4,8,PBS,36,31.3143,363,250,473
empty-16-16,4,8,PBS,40,42.593,390,253,480
empty-16-16,4,8,PBS,44,99.602,433,869,1673
empty-16-16,4,8,PBS,48,48.5259,483,1037,2002
empty-16-16,4,8,PBS,52,60.4561,510,999,1939
empty-16-16,4,8,PBS,56,368.889,544,12398,24351
empty-32-32,4,14,PBS,4,0.00507815,120,1,1
empty-32-32,4,14,PBS,8,0.00927331,199,1,1
empty-32-32,4,14,PBS,12,0.0143712,273,1,1
empty-32-32,4,14,PBS,16,1.93773,332,3,5
empty-32-32,4,14,PBS,20,56.6937,407,25,49
empty-32-32,4,14,PBS,24,24.973,496,27,53
empty-32-32,4,14,PBS,28,69.3195,564,39,73
empty-32-32,4,14,PBS,32,143.386,633,66,121
empty-32-32,4,14,PBS,36,209.858,758,92,174
empty-32-32,4,14,PBS,40,68.9266,856,67,130
empty-32-32,4,14,PBS,44,267.837,965,124,246
empty-32-32,4,14,PBS,48,629.869,1054,580,1101
empty-48-48,4,20,PBS,4,0.00506776,113,1,1
empty-48-48,4,20,PBS,8,0.0107143,227,1,1
empty-48-48,4,20,PBS,12,0.0174885,342,1,1
empty-48-48,4,20,PBS,16,0.02402,420,1,1
empty-48-48,4,20,PBS,20,57.0822,511,6,11
empty-48-48,4,20,PBS,24,57.2869,629,6,11
empty-48-48,4,20,PBS,28,57.3846,785,6,11
empty-48-48,4,20,PBS,32,57.3675,870,6,11
empty-48-48,4,20,PBS,36,57.428,936,6,11
